HTS,description,country,year,Customs Value,First Unit,Second Unit,Landed Duty-Paid Value,Dutiable Value,Calculated Duties,Import Charges,CIF Import Value
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Mexico,2024.0,11072258,4523632.0,0.0,11095004,0,0,22746,11095004
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Netherlands,2024.0,9263,2342.0,0.0,10082,9263,0,819,10082
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Switzerland,2024.0,17331,6991.0,0.0,23842,17331,4333,2178,19509
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Thailand,2024.0,68040,47220.0,0.0,68340,68040,0,300,68340
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",United Kingdom,2024.0,19257,9258.0,0.0,25096,19257,2188,3651,22908
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Canada,2024.0,48978,40052.0,0.0,49778,0,0,800,49778
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",China,2024.0,2349511,1948346.0,0.0,3188980,2349511,763592,75877,2425388
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",India,2024.0,1320817,1218090.0,0.0,1810199,1320817,330211,159171,1479988
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Mexico,2024.0,117488,36780.0,0.0,124288,0,0,6800,124288
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Oman,2024.0,3183884,3380775.0,0.0,5262195,3183884,796007,1282304,4466188
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",South Korea,2024.0,2782815,2615943.0,0.0,3110411,0,0,327596,3110411
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Thailand,2024.0,1509631,1580582.0,0.0,2084402,1509631,377416,197355,1706986
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Turkey,2024.0,420437,438740.0,0.0,525726,420437,105113,176,420613
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",United Arab Emirates,2024.0,2410002,2494566.0,0.0,3326211,2410002,602520,313689,2723691
7306305025.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC, IRON OR NONALLOY STEEL, GALVANIZED, OUTSIDE DIAMETER NOV 114.3MM, IMPORTED WITH COUPL ING",Vietnam,2024.0,1782559,1883191.0,0.0,2438412,1782559,445645,210208,1992767
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Canada,2024.0,280871,266715.0,0.0,282671,0,0,1800,282671
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",China,2024.0,348261,350107.0,0.0,498967,348261,135570,15136,363397
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Dominican Republic,2024.0,131513,122033.0,0.0,140282,131513,0,8769,140282
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",India,2024.0,189547,224740.0,0.0,272534,189547,47387,35600,225147
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Mexico,2024.0,16459,2702.0,0.0,16555,0,0,96,16555
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Oman,2024.0,3106919,3357298.0,0.0,4917227,3106919,776761,1033547,4140466
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",South Korea,2024.0,1104760,909990.0,0.0,1122644,0,0,17884,1122644
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Thailand,2024.0,2241581,2382006.0,0.0,3158293,2241581,560403,356309,2597890
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Turkey,2024.0,178852,190765.0,0.0,246511,178852,44713,22946,201798
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",United Arab Emirates,2024.0,1791859,1946229.0,0.0,2653625,1791859,447983,413783,2205642
7306305026.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, CIRC CRS SEC,IRON OR NONALLOY STEEL,GALVANIZED, WITH AN OUTSIDE DIAMETER NOT EXCEEDING 50.8MM,IMP WITH COUPL ING",Vietnam,2024.0,1074853,1106142.0,0.0,1468079,1074853,268719,124507,1199360
